food_zh,food_en,unit_basis,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,notes
鸡蛋,egg,per_item_50g,70,6,0.5,5,0,0.4,70,普通大鸡蛋估算
牛奶,milk,per_100ml,60,3.2,4.8,3.3,0,5,45,普通全脂牛奶估算
米饭,rice,per_100g_cooked,130,2.4,28.7,0.3,0.4,0.1,1,熟白米饭估算
鸡胸肉,chicken breast,per_100g_cooked,165,31,0,3.6,0,0,74,熟去皮鸡胸肉估算
三文鱼,salmon,per_100g,208,20,0,13,0,0,59,熟三文鱼估算
土豆,potato,per_100g,87,1.9,20.1,0.1,1.8,0.9,6,熟土豆估算
土豆泥,mashed potato,per_100g,110,2,15,4,1.3,1.2,280,超市/餐厅差异大，标签优先
西兰花,broccoli,per_100g,36,2.4,7.2,0.4,3.3,1.4,41,熟西兰花估算
番茄,tomato,per_100g,18,0.9,3.9,0.2,1.2,2.6,5,生番茄估算
生菜,lettuce,per_100g,15,1.4,2.9,0.2,1.3,0.8,28,生菜估算
面包,bread,per_100g,265,9,49,3.2,2.7,5,491,包装数据优先
酸奶,yogurt,per_100g,61,3.5,4.7,3.3,0,4.7,46,原味酸奶估算
蓝莓,blueberry,per_100g,57,0.7,14.5,0.3,2.4,10,1,新鲜蓝莓估算
薯条,fries,per_100g,312,3.4,41,15,3.8,0.3,210,炸制和盐量差异大
蘑菇,mushrooms,per_100g,22,3.1,3.3,0.3,1,2,5,普通蘑菇估算
菠菜,spinach,per_100g,23,2.9,3.6,0.4,2.2,0.4,79,生菠菜估算
