word,pronunciation,meaning,example
commute,/kəˈmjuːt/,通勤（动词）,I commute by subway every morning.
subway,/ˈsʌbweɪ/,地铁（美式）,The subway is faster than the bus during rush hour.
transfer,/ˈtrænsfɜːr/,换乘；转移,I transferred at Central Station to change lines.
platform,/ˈplætfɔːrm/,站台,The train leaves from Platform 3.
delay,/dɪˈleɪ/,延误；延迟,Is there any delay on the express train?
departure,/dɪˈpɑːrtʃər/,出发；发车,The departure time is 8 PM sharp.
route,/ruːt/,路线；途径,What is the best route to get downtown?
fare,/feər/,车费；票价,The subway fare is $3 per ride.
schedule,/ˈʃedjuːl/,时间表；安排,The bus schedule changes on weekends.
rush hour,/rʌʃ aʊər/,高峰期,Try to avoid rush hour if you can work from home.
